핵심_지하철역,위도,경도,지하철_하차인원,연계_버스정류장수,버스_하차인원,통합_유동인구,배후지_부동산_거래건수,배후지_부동산_평균단가
강남,37.4970572543978,127.028180714381,2296801.6,5,15769.971130713711,2312571.571130714,807,1510.98
구로디지털단지,37.4854463023684,126.900861931696,1619867.4,5,26975.291900561348,1646842.6919005613,0,0.0
을지로입구,37.5660595575016,126.982084266762,1548882.6,10,27385.126789044916,1576267.726789045,1355,1359.54
잠실(송파구청),37.514062738295,127.102052316075,1550082.3,7,22553.027155293188,1572635.3271552932,176,1946.94
삼성(무역센터),37.5074093716094,127.058026248636,1529057.8,5,7202.36597005504,1536260.1659700552,288,1958.43
역삼,37.5012493916368,127.038331573474,1513743.2,5,7989.369789019752,1521732.5697890196,807,1510.98
용산,37.5297680649234,126.964300393659,1474563.4,2,6994.6752205292705,1481558.0752205292,666,2722.46
서울대입구(관악구청),37.4812432482705,126.951616302678,1338966.0,11,25593.302234761017,1364559.302234761,443,554.74
영등포,37.5159748715236,126.907035121749,1301463.2,7,20089.270549801062,1321552.470549801,727,1551.14
명동,37.5608407630906,126.985735507155,1206605.4,6,14100.974225494512,1220706.3742254945,1408,1188.25
혜화,37.5821325777078,127.001814703064,1153509.0,8,17962.37690457097,1171471.376904571,40,1147.88
종각,37.5702325959004,126.981415752051,1130930.6,12,32026.618325988216,1162957.2183259884,757,1381.14
양재(서초구청),37.4847788607946,127.03338417886,1122815.2,10,18041.64153969527,1140856.8415396952,192,1681.85
광화문(세종문화회관),37.5724324798009,126.976901845925,1038994.6,8,22273.07347907852,1061267.6734790786,571,1697.81
수유(강북구청),37.6398219485414,127.027222545302,1022579.4,12,31475.98957497995,1054055.38957498,0,0.0
사당,37.4761137739838,126.973388761113,1040208.9,4,6386.703287890938,1046595.603287891,0,0.0
홍대입구,37.5568904093718,126.923674307594,994271.6666666666,6,22502.39204588605,1016774.0587125527,526,1250.74
압구정,37.523542792309,127.028308776112,956325.4,4,5049.273399900825,961374.6733999009,345,2299.27
신논현,37.5064573770425,127.031325016674,955057.8,1,1055.0168674698796,956112.8168674699,1253,1564.65
선릉,37.5074093716094,127.058026248636,939731.2,5,7202.36597005504,946933.565970055,288,1958.43
남부터미널(예술의전당),37.4865945147413,127.015296934392,921705.2,1,1737.0441058540498,923442.244105854,1077,1351.7
회현(남대문시장),37.5576877320082,126.976719543256,881658.4,13,30611.44717273302,912269.847172733,1087,1201.42
고속터미널,37.5048497116637,127.00487538273,870575.4,2,16365.743048163104,886941.1430481632,303,1948.99
신림,37.4841196518392,126.928712092948,847947.2,12,32967.7105002431,880914.9105002431,295,534.13
여의도,37.5228127393231,126.92303459092,838710.1,8,17882.522052927026,856592.622052927,919,1271.9
안국,37.5762179204048,126.984657242148,844355.2,7,10897.119049092345,855252.3190490922,556,1457.17
가산디지털단지,37.4824136254197,126.882240156863,845512.6,1,1452.1813804173355,846964.7813804173,255,643.89
건대입구,37.540816040886,127.069031304229,832909.9,5,7300.673616680032,840210.5736166801,138,941.7
낙성대(강감찬),37.4766620778454,126.964610228555,804460.0,6,9813.76263031275,814273.7626303127,443,554.74
경복궁(정부서울청사),37.5757611449079,126.973206515467,796384.6,7,17010.80914194066,813395.4091419406,289,1726.74
쌍문,37.6490575706429,127.035086481532,799206.4,4,13761.624699278269,812968.0246992783,116,659.26
신사,37.5196722763952,127.018751560774,808605.8,2,4329.177550619479,812934.9775506195,472,2219.72
화곡,37.5412338197326,126.840795822727,787571.6,7,11058.283744762532,798629.8837447625,427,558.34
까치산,37.5325400173123,126.84626068468,787165.0,2,6654.434312531022,793819.434312531,0,0.0
회기,37.5904173519961,127.059160733695,779882.0,7,12379.660279610824,792261.6602796108,81,1401.22
미아사거리,37.6149930490815,127.030033187155,767500.2,6,23107.67361668003,790607.87361668,0,0.0
신도림,37.5087389965473,126.891109048536,761849.2,6,17796.35846030473,779645.5584603046,234,847.65
시청,37.5656084379833,126.976944701063,740142.5,5,11713.591103399362,751856.0911033994,1311,1296.09
합정,37.5501152068908,126.914638180431,731747.0,2,5617.943865276664,737364.9438652766,368,1229.55
신용산,37.5296155628471,126.968215931799,716358.8,4,10418.366479550923,726777.166479551,715,2481.66
발산,37.5590292668195,126.837310771961,717623.4,2,2720.318364073777,720343.7183640738,45,546.43
봉은사,37.5147709657409,127.063236452081,704768.6,4,8304.791499599038,713073.391499599,288,1958.43
종로5가,37.5710311532308,127.001942459411,699827.0,4,10865.708099438654,710692.7080994387,1829,1226.65
신대방,37.4875502276404,126.91296044203,707026.8,1,3653.9759422614275,710680.7759422614,77,720.88
잠실새내,37.5115492555086,127.089194396018,695293.0,3,4742.49252406579,700035.4925240658,229,2426.61
문래,37.5187381167293,126.894947426945,683857.2,3,4418.15135768598,688275.351357686,471,1124.52
노원,37.656115126703,127.062396487596,669666.3,6,9750.523807691274,679416.8238076913,0,0.0
봉천,37.4822899027313,126.942835953538,674746.4,2,3705.5541299117886,678451.9541299118,0,0.0
오목교(목동운동장앞),37.5246786692461,126.874009847123,665017.4,4,6064.000609841012,671081.400609841,344,1020.5
개봉,37.4951259236288,126.867028397511,660952.0,2,2808.0818619582665,663760.0818619583,478,492.84
문정,37.4881491599168,127.121157265226,658367.0,1,1793.0136327185244,660160.0136327185,720,1106.23
청량리(서울시립대입구),37.5809773543627,127.046992372032,641176.9,7,18041.426165930763,659218.3261659308,360,959.52
학동,37.5143011318846,127.03177451842,653071.0,2,2629.8092115052027,655700.8092115052,791,1958.8
교대(법원.검찰청),37.4948693588388,127.017320865284,649456.5,1,1137.8476343223738,650594.3476343224,1077,1351.7
길음,37.603183910563,127.024823216768,633699.0,7,16869.963868340194,650568.9638683402,66,1562.49
구파발,37.637580009726,126.918547710926,640702.6,3,5108.2727065438985,645810.8727065439,0,0.0
가양,37.561758032882,126.853997037516,628299.2,3,6057.657578187651,634356.8575781876,58,414.84
총신대입구(이수),37.4880715589179,126.982278960848,626803.6,3,6926.066559743384,633729.6665597433,0,0.0
천호(풍납토성),37.5385036573161,127.125111736335,613039.8,5,9264.323699932047,622304.1236999321,439,728.79
신촌,37.5546737368641,126.937561435278,602526.4,9,16125.483648789224,618651.8836487893,443,905.88
서초,37.4927950464288,127.010569245266,613852.2,2,2218.0956279018283,616070.2956279018,1077,1351.7
압구정로데오,37.529440360849,127.041260327992,596855.2,4,7145.550525112598,604000.7505251125,0,0.0
당산,37.5350841820894,126.902845158061,586524.6,6,10857.178829190056,597381.7788291901,0,0.0
장한평,37.5621614173248,127.060643724017,574368.6,4,8599.772249749227,582968.3722497493,94,638.97
을지로3가,37.5662107085093,126.990228451524,556233.6,6,14950.13231756215,571183.7323175621,1853,1233.48
청담,37.5187222361325,127.049208534359,563464.2,2,2233.234963913392,565697.4349639134,489,2018.24
논현,37.5143011318846,127.03177451842,562122.0,2,2629.8092115052027,564751.8092115052,791,1958.8
이대,37.5568526932828,126.947730357154,551800.4,4,7676.025661587812,559476.4256615879,499,953.22
노량진,37.5135851365497,126.940904491209,535314.9,7,20181.896551724134,555496.7965517242,114,1083.05
