역명,음식점수,지하철하차,버스하차,총유입인구,CP지수
상수역,953,392562,220296,612858,15.55
송파나루역,710,190172,295324,485496,14.62
당곡역,723,138721,451142,589863,12.26
경찰병원역,313,215629,59098,274727,11.39
청구역,354,208708,111937,320645,11.04
언주역,527,319748,167624,487372,10.81
샛강역,659,282629,341788,624417,10.55
석촌고분역,395,215090,167489,382579,10.32
방이역,316,233557,110304,343861,9.19
수색역,449,94964,407066,502030,8.94
홍대입구역,1365,3204078,5379502,8583580,1.59
구로디지털단지역,656,1605247,4534472,6139719,1.07
서울역,595,3693464,2414006,6107470,0.97
잠실역,498,3193402,1076723,4270125,1.17
신도림역,416,1577496,2413086,3990582,1.04
회현역,636,932726,3054071,3986797,1.6
수유역,891,1056561,2888976,3945537,2.26
고속터미널역,374,2864281,996251,3860532,0.97
청량리역,439,1371511,2065675,3437186,1.28
미아사거리역,497,790241,2614477,3404718,1.46
