시군구,거래건수,평균_면적당_매매가,위도,경도
서울특별시 구로구 구로동,1248,647.55,37.4945849,126.8845477
서울특별시 서초구 서초동,1077,1351.7,37.4884513,127.0164398
서울특별시 중구 을지로6가,1068,592.27,37.56719,127.00646
서울특별시 강서구 마곡동,1022,874.77,37.5700377,126.8301736
서울특별시 영등포구 여의도동,919,1271.9,37.5284646,126.9300522
서울특별시 강남구 역삼동,807,1510.98,37.49988,127.03856
서울특별시 동대문구 제기동,714,745.33,37.5783784,127.0344672
서울특별시 서초구 양재동,640,908.31,37.4690298,127.0387937
서울특별시 광진구 구의동,618,370.02,37.5444896,127.0874678
서울특별시 송파구 문정동,559,1310.99,37.4850937,127.1193144
서울특별시 중구 충무로1가,539,945.79,37.56088,126.98318
서울특별시 중구 신당동,504,1809.45,37.5651969,127.01322
서울특별시 강남구 대치동,453,2227.74,37.4989205,127.0657857
서울특별시 강남구 논현동,446,1618.32,37.5123018,127.0294935
서울특별시 관악구 봉천동,443,554.74,37.4750064,126.9571404
서울특별시 용산구 한강로2가,441,2317.02,37.53142,126.9685
서울특별시 강동구 천호동,439,728.79,37.54294,127.12733
서울특별시 강서구 화곡동,427,558.34,37.542134,126.8441752
서울특별시 노원구 상계동,418,575.4,37.66727,127.07242
서울특별시 구로구 고척동,398,318.87,37.5023851,126.8628501
서울특별시 금천구 시흥동,394,797.69,37.4507049,126.9085555
서울특별시 영등포구 영등포동3가,380,655.35,37.518216,126.9075556
서울특별시 양천구 신정동,376,1002.53,37.5163163,126.8634455
서울특별시 강남구 신사동,345,2299.27,37.5223206,127.0277019
서울특별시 양천구 목동,344,1020.5,37.5261241,126.8645174
서울특별시 강남구 개포동,343,2088.62,37.4891009,127.0660428
서울특별시 서초구 방배동,342,1370.39,37.4787937,126.9929225
서울특별시 강서구 등촌동,339,617.57,37.552056,126.8615649
서울특별시 서초구 반포동,303,1948.99,37.5040052,127.0017984
서울특별시 관악구 신림동,295,534.13,37.486897,126.928177
서울특별시 강남구 삼성동,288,1958.43,37.5152233,127.0549741
서울특별시 성동구 성수동2가,285,2127.89,37.54048,127.05601
서울특별시 금천구 가산동,255,643.89,37.4753253,126.8863954
서울특별시 은평구 대조동,245,697.11,37.61261,126.9227835
서울특별시 노원구 중계동,236,559.41,37.6509815,127.0810259
서울특별시 구로구 신도림동,234,847.65,37.50941,126.88285
서울특별시 강북구 수유동,230,642.45,37.636597,127.0043825
서울특별시 마포구 서교동,229,1224.04,37.5550711,126.9238244
서울특별시 송파구 잠실동,229,2426.61,37.5122807,127.0855986
서울특별시 금천구 독산동,208,593.17,37.468399,126.8979571
서울특별시 강남구 청담동,201,2078.04,37.5257536,127.0523217
서울특별시 강동구 성내동,198,1149.53,37.52998,127.12875
서울특별시 강남구 도곡동,192,1681.85,37.4878395,127.0438569
서울특별시 동대문구 청량리동,189,945.04,37.5882073,127.0462518
서울특별시 종로구 평창동,189,652.9,37.6159731,126.9676478
서울특별시 도봉구 창동,185,670.42,37.6529636,127.0466586
서울특별시 강남구 수서동,181,920.63,37.48445,127.09838
서울특별시 영등포구 신길동,177,1110.4,37.5065214,126.9119108
서울특별시 강북구 미아동,176,729.45,37.6220808,127.0209076
서울특별시 마포구 상암동,176,977.69,37.5715723,126.8728063
서울특별시 송파구 신천동,176,1946.94,37.5184928,127.1030779
서울특별시 영등포구 문래동3가,175,1358.79,37.51702,126.89591
서울특별시 송파구 방이동,173,1963.06,37.5113049,127.118793
서울특별시 마포구 도화동,172,770.8,37.5386394,126.9492428
서울특별시 동대문구 전농동,171,974.01,37.5806,127.05543
서울특별시 마포구 노고산동,166,762.79,37.553881,126.937312
서울특별시 광진구 자양동,165,1492.82,37.5316905,127.0749477
서울특별시 종로구 낙원동,164,2182.43,37.57221,126.98762
서울특별시 중랑구 상봉동,164,615.51,37.6001644,127.0909024
서울특별시 중구 남창동,163,1058.86,37.5577353,126.9774875
서울특별시 송파구 가락동,161,901.47,37.4947008,127.1191293
서울특별시 중랑구 면목동,159,721.59,37.5817944,127.0910424
서울특별시 동작구 사당동,158,994.35,37.48508,126.9704949
서울특별시 강서구 방화동,156,855.6,37.57682,126.81422
서울특별시 양천구 신월동,156,535.76,37.5290495,126.8335466
서울특별시 중구 황학동,156,911.01,37.5675499,127.02172
서울특별시 동대문구 신설동,155,447.78,37.5759931,127.0231865
서울특별시 동대문구 용두동,154,629.22,37.57616,127.03476
서울특별시 용산구 한남동,154,1949.33,37.53822,127.0074
서울특별시 은평구 진관동,147,561.13,37.6421169,126.9354305
서울특별시 강동구 길동,146,802.33,37.5383683,127.1402049
서울특별시 성동구 성수동1가,145,1930.91,37.5435,127.03742
서울특별시 광진구 화양동,138,941.7,37.54408,127.06895
서울특별시 은평구 응암동,138,560.48,37.5926573,126.9216114
서울특별시 동대문구 답십리동,133,706.28,37.57002,127.05467
서울특별시 성동구 옥수동,131,2066.08,37.54176,127.01648
서울특별시 서대문구 홍제동,130,674.65,37.5871,126.94676
서울특별시 은평구 불광동,130,601.83,37.6194236,126.9354046
서울특별시 서대문구 대현동,128,978.31,37.56058,126.94496
서울특별시 서초구 잠원동,127,2140.16,37.5182544,127.0124028
서울특별시 강남구 일원동,126,3995.44,37.48754,127.08705
서울특별시 종로구 관수동,126,1183.91,37.5688,126.99018
서울특별시 송파구 거여동,125,1469.23,37.490687,127.146916
서울특별시 강동구 명일동,123,1031.23,37.54841,127.15158
서울특별시 마포구 동교동,123,1301.57,37.5571419,126.9261901
서울특별시 송파구 오금동,121,1438.16,37.50355,127.13379
서울특별시 도봉구 쌍문동,116,659.26,37.6529346,127.0249366
서울특별시 동대문구 장안동,115,569.26,37.57105,127.06806
서울특별시 동작구 노량진동,114,1083.05,37.5126131,126.942124
서울특별시 성동구 행당동,114,902.69,37.55783,127.03571
서울특별시 광진구 중곡동,112,789.45,37.5634435,127.0880808
서울특별시 도봉구 방학동,110,575.75,37.6643214,127.033378
서울특별시 종로구 인의동,110,1619.7,37.57236,126.9971
서울특별시 중구 충무로4가,110,1293.15,37.56208,126.99556
서울특별시 중구 필동1가,110,1693.43,37.56082,126.99224
서울특별시 용산구 이태원동,109,1444.16,37.53842,126.992
서울특별시 용산구 한강로3가,108,2108.41,37.52754,126.96297
서울특별시 강동구 암사동,107,658.24,37.5582352,127.1308542
서울특별시 용산구 동자동,107,1660.94,37.55112,126.97251
서울특별시 중구 을지로4가,107,1682.98,37.5666425,126.9981685
서울특별시 마포구 공덕동,106,1053.68,37.549927,126.9592897
서울특별시 영등포구 당산동2가,106,660.1,37.5224036,126.89391
서울특별시 광진구 광장동,101,897.05,37.54711,127.10414
서울특별시 용산구 원효로1가,99,1210.61,37.5397,126.96696
서울특별시 강동구 강일동,98,835.69,37.56723,127.1713
서울특별시 송파구 석촌동,96,1002.7,37.5024827,127.103495
서울특별시 중랑구 신내동,96,448.85,37.6107129,127.0931277
서울특별시 영등포구 대림동,95,662.89,37.4967202,126.9011231
서울특별시 성동구 용답동,94,638.97,37.5613328,127.0580146
서울특별시 은평구 녹번동,92,889.05,37.6040879,126.9317233
서울특별시 종로구 창신동,92,1334.82,37.57595,127.01313
서울특별시 용산구 남영동,90,3354.46,37.5450805,126.9748884
서울특별시 서대문구 창천동,89,1165.65,37.5587663,126.9342407
서울특별시 송파구 송파동,89,1211.5,37.5042643,127.1157079
서울특별시 노원구 월계동,88,705.0,37.6298479,127.0541062
서울특별시 마포구 마포동,88,684.87,37.53672,126.94288
서울특별시 마포구 아현동,87,740.92,37.5505624,126.9525116
서울특별시 마포구 연남동,85,1311.69,37.5626596,126.9226107
서울특별시 은평구 갈현동,85,965.23,37.6208998,126.9127557
서울특별시 용산구 용문동,84,2763.7,37.5380978,126.9586211
서울특별시 노원구 공릉동,83,586.1,37.6302152,127.0872902
서울특별시 성북구 정릉동,83,664.29,37.6167954,126.9972998
서울특별시 중구 산림동,83,1050.84,37.56738,126.99578
서울특별시 종로구 신문로1가,82,1668.83,37.57017,126.97417
서울특별시 동대문구 휘경동,81,1401.22,37.58773,127.06526
서울특별시 동작구 상도동,81,764.79,37.4988159,126.9441045
서울특별시 송파구 장지동,81,879.56,37.4798337,127.1310225
서울특별시 구로구 개봉동,80,666.82,37.4946145,126.8562108
서울특별시 마포구 망원동,78,944.49,37.5560241,126.9009751
서울특별시 중구 순화동,78,684.39,37.5623,126.97037
서울특별시 동작구 신대방동,77,720.88,37.4914562,126.9166688
서울특별시 마포구 성산동,77,1116.7,37.56775,126.90263
서울특별시 중구 서소문동,77,1411.34,37.56283,126.97365
서울특별시 성북구 하월곡동,76,739.22,37.60444,127.03764
서울특별시 용산구 원효로2가,76,2829.61,37.53625,126.96271
서울특별시 은평구 역촌동,76,375.85,37.6049941,126.9148856
서울특별시 종로구 수송동,76,1000.28,37.57371,126.98093
서울특별시 마포구 상수동,75,1208.84,37.54743,126.92473
서울특별시 종로구 돈의동,75,810.94,37.57208,126.99082
서울특별시 용산구 갈월동,74,1237.26,37.54487,126.9715441
서울특별시 종로구 종로6가,74,2479.44,37.57174,127.00681
서울특별시 중랑구 중화동,73,573.51,37.6005135,127.0793787
서울특별시 강북구 번동,72,455.9,37.6292271,127.0374758
서울특별시 성북구 종암동,72,584.28,37.59631,127.03333
서울특별시 중구 다동,72,1564.08,37.56749,126.98075
서울특별시 중구 주교동,72,968.05,37.5680117,126.9985884
서울특별시 구로구 오류동,71,615.17,37.4943466,126.8445367
서울특별시 서대문구 연희동,71,730.45,37.5724974,126.9329405
서울특별시 종로구 종로5가,70,1168.61,37.5709867,127.0020222
서울특별시 중구 회현동1가,70,1334.81,37.55689,126.98138
서울특별시 종로구 청진동,69,2334.29,37.57125,126.9799
서울특별시 중구 인현동1가,68,1332.7,37.56418,126.99393
서울특별시 영등포구 영등포동4가,67,2089.84,37.51777,126.90368
서울특별시 용산구 서계동,67,1794.02,37.55234,126.96595
서울특별시 중구 오장동,67,743.68,37.56417,127.00024
서울특별시 강서구 공항동,66,1045.11,37.5556799,126.7931257
서울특별시 성북구 길음동,66,1562.49,37.6085308,127.0201946
서울특별시 광진구 군자동,65,768.8,37.5532345,127.071936
서울특별시 마포구 합정동,64,1255.76,37.5477846,126.9095636
서울특별시 영등포구 당산동3가,63,464.3,37.52616,126.89724
서울특별시 종로구 숭인동,63,1192.21,37.57648,127.01848
