"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-25"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 송파구 잠실동","집합","208-7","석촌호수로","제3종일반주거","제1종근린생활","25m이상","10.08"," ","6,000","","개인","개인","202606","24","지분","","-","직거래","-"
"2","서울특별시 은평구 응암동","집합","110-21","은평로8길","준주거","제2종근린생활","8m미만","21.12"," ","10,500","2","개인","개인","202606","23","","2014","-","직거래","-"
"3","서울특별시 동대문구 답십리동","집합","492-1","천호대로","일반상업","제1종근린생활","25m이상","37.59"," ","56,000","1","개인","개인","202606","23","","1980","-","중개거래","서울 동대문구"
"4","서울특별시 용산구 보광동","집합","448","장문로","제2종일반주거","제2종근린생활","25m미만","32.17"," ","230,000","","개인","개인","202606","23","","1992","-","중개거래","서울 용산구"
"5","서울특별시 중랑구 면목동","집합","573-20","면목로49길","제2종일반주거","제2종근린생활","12m미만","21.45"," ","17,000","1","개인","법인","202606","23","","2012","-","직거래","-"
"6","서울특별시 영등포구 문래동3가","일반","*","경인로89길","일반상업","제1종근린생활","25m미만","79.34","144.10","480,000","","법인","개인","202606","23","","1959","-","중개거래","서울 강남구"
"7","서울특별시 성동구 성수동2가","일반","2**","아차산로17길","준공업","제1종근린생활","12m미만","372.32","146.30","499,000","","개인","개인","202606","23","","1989","-","중개거래","서울 성동구"
"8","서울특별시 광진구 중곡동","일반","6**","동일로64길","제2종일반주거","제1종근린생활","8m미만","1412.65","628.40","760,000","","개인","개인","202606","23","","1988","20260624","중개거래","서울 광진구"
"9","서울특별시 영등포구 문래동3가","일반","*","","일반상업","제1종근린생활","25m이상","1317.87","1073.50","3,572,000","","법인","개인","202606","23","","1997","-","중개거래","서울 강남구"
"10","서울특별시 중구 신당동","집합","773","마장로","일반상업","판매","25m이상","3.88"," ","1,200","81","개인","개인","202606","23","","2010","-","중개거래","서울 중구"
"11","서울특별시 강동구 길동","집합","413-1","양재대로111길","일반상업","업무","12m미만","25.60"," ","10,000","4","개인","개인","202606","22","","2002","-","중개거래","서울 강동구"
"12","서울특별시 용산구 보광동","집합","201-18","서빙고로91라길","제2종일반주거","제1종근린생활","8m미만","29.53"," ","145,000","","개인","개인","202606","22","","2003","-","중개거래","서울 용산구"
"13","서울특별시 구로구 구로동","집합","606-1","구로중앙로","준공업","제1종근린생활","25m이상","26.81"," ","25,000","1","개인","개인","202606","22","","1981","-","중개거래","서울 구로구"
"14","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,000","","법인","개인","202606","22","","2002","-","직거래","-"
"15","서울특별시 성동구 성수동1가","일반","6**","서울숲2길","제2종일반주거","제2종근린생활","8m미만","308.83","155.00","745,000","","법인","법인","202606","22","","2004","-","중개거래","서울 강남구"
"16","서울특별시 관악구 신림동","일반","5**","남부순환로","제3종일반주거","제1종근린생활","25m이상","1240.87","397.76","463,411","","법인","개인","202606","22","지분","1991","-","직거래","-"
"17","서울특별시 구로구 구로동","집합","606-1","구로중앙로","준공업","제2종근린생활","25m이상","24.60"," ","20,000","2","개인","개인","202606","22","","1981","-","중개거래","서울 구로구"
"18","서울특별시 관악구 봉천동","집합","463-4","양녕로","준주거","제1종근린생활","25m미만","184.33"," ","41,352","","법인","법인","202606","22","","2006","-","직거래","-"
"19","서울특별시 구로구 구로동","집합","735-2","구로동로14길","제2종일반주거","제2종근린생활","8m미만","43.08"," ","13,000","","개인","개인","202606","22","","1965","-","중개거래","서울 구로구"
"20","서울특별시 관악구 봉천동","집합","463-4","양녕로","준주거","제1종근린생활","25m미만","187.93"," ","41,352","","법인","법인","202606","22","","2006","-","직거래","-"
"21","서울특별시 관악구 봉천동","집합","463-4","양녕로","준주거","제1종근린생활","25m미만","187.93"," ","41,352","","법인","법인","202606","22","","2006","-","직거래","-"
"22","서울특별시 중구 필동1가","집합","43-1","충무로","일반상업","숙박","25m이상","16.44"," ","31,000","15","법인","개인","202606","22","","2023","-","중개거래","서울 중구"
"23","서울특별시 관악구 봉천동","집합","463-4","양녕로","준주거","제1종근린생활","25m미만","324.10"," ","72,859","","법인","법인","202606","22","","2006","-","직거래","-"
"24","서울특별시 노원구 중계동","집합","360-2","중계로19길","제3종일반주거","제1종근린생활","25m미만","1089.67"," ","288,895","","법인","법인","202606","22","","1996","-","직거래","-"
"25","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,000","","법인","개인","202606","22","","2002","-","직거래","-"
"26","서울특별시 금천구 가산동","집합","60-24","벚꽃로","준공업","제2종근린생활","25m미만","31.69"," ","17,500","","개인","개인","202606","22","","2004","-","중개거래","서울 금천구"
"27","서울특별시 동대문구 전농동","집합","295-52","전농로","근린상업","제1종근린생활","25m이상","14.98"," ","19,000","1","개인","개인","202606","22","","1967","-","중개거래","서울 동대문구"
"28","서울특별시 영등포구 양평동3가","집합","16","양산로","준공업","제1종근린생활","25m미만","12.60"," ","2,489","","개인","법인","202606","22","","2003","-","직거래","-"
"29","서울특별시 광진구 중곡동","집합","126-64","천호대로123길","제2종일반주거","제2종근린생활","8m미만","52.57"," ","1,500","","개인","개인","202606","22","","2019","20260624","중개거래","서울 송파구"
"30","서울특별시 강서구 방화동","집합","567-4","방화동로","제2종일반주거","판매","25m미만","576.24"," ","68,544","","법인","법인","202606","22","","2004","-","직거래","-"
"31","서울특별시 강서구 방화동","집합","567-4","방화동로","제2종일반주거","판매","25m미만","294.90"," ","35,311","","법인","법인","202606","22","","2004","-","직거래","-"
"32","서울특별시 동대문구 답십리동","집합","42","답십리로","제3종일반주거","제2종근린생활","12m미만","31.35"," ","13,500","","개인","개인","202606","20","","","-","직거래","-"
"33","서울특별시 강서구 마곡동","집합","757","마곡중앙로","일반상업","업무","25m미만","60.06"," ","42,000","","개인","개인","202606","20","","2017","-","중개거래","서울 강서구"
"34","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","45.07"," ","94,445","1","법인","법인","202606","19","","","-","직거래","-"
"35","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","1,800","","법인","개인","202606","19","","2002","-","직거래","-"
"36","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","69.65"," ","172,320","1","법인","법인","202606","19","","","-","직거래","-"
"37","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","96.74"," ","191,099","1","법인","법인","202606","19","","","-","직거래","-"
"38","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","71.04"," ","175,634","1","법인","법인","202606","19","","","-","직거래","-"
"39","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","71.04"," ","175,634","1","법인","법인","202606","19","","","-","직거래","-"
"40","서울특별시 용산구 후암동","일반","9*","후암로","제2종일반주거","제1종근린생활","25m미만","134.83","136.80","275,000","","법인","개인","202606","19","","1961","-","중개거래","서울 강남구, 서울 용산구"
"41","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","4,900","","법인","개인","202606","19","","2002","-","직거래","-"
"42","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","95.60"," ","112,150","","법인","법인","202606","19","","","-","직거래","-"
"43","서울특별시 중구 중림동","집합","500","서소문로","준주거","제1종근린생활","25m이상","69.58"," ","25,800","","개인","개인","202606","19","","2001","-","중개거래","서울 중구"
"44","서울특별시 중구 신당동","집합","772","장충단로","일반상업","판매","25m미만","5.88"," ","2,728","","개인","개인","202606","19","지분","1980","-","중개거래","서울 중구"
"45","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","56.92"," ","68,265","","법인","법인","202606","19","","","-","직거래","-"
"46","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","75.23"," ","206,011","1","법인","법인","202606","19","","","-","직거래","-"
"47","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","69.77"," ","191,099","1","법인","법인","202606","19","","","-","직거래","-"
"48","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","5.65"," ","2,700","","법인","개인","202606","19","","2002","-","직거래","-"
"49","서울특별시 동대문구 답십리동","집합","542-1","황물로","제2종일반주거","제1종근린생활","25m이상","32.23"," ","26,000","1","개인","개인","202606","19","","1981","-","중개거래","서울 동대문구"
